Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,drive_helpers.py,py,8,,3.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc,generator.cpp,cpp,11,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,
5,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/can,parser.py,py,13,1.0,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,latcontrol_helpers.py,py,3,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc,generator.cpp,cpp,8,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/debug,get_fingerprint.py,py,5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib,radar_helpers.py,py,25,,17.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,tombstoned.py,py,5,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,radar_interface.py,py,6,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,old_can_parser.py,py,12,,8.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,swaglog.py,py,8,,4.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc/mpc_export,acado_integrator.c,c,14,,7.0,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,radar_interface.py,py,5,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,hondacan.py,py,5,,1.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc/mpc_export,acado_integrator.c,c,14,,7.0,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/common,visionipc.c,c,10,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/debug,dump.py,py,5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,config.py,py,8,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/debug,can_printer.py,py,6,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/debug/getframes,getframes.py,py,4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,values.py,py,2,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/common,touch.c,c,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/common,glutil.c,c,2,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,logmessaged.py,py,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc/mpc_export,acado_qpoases_interface.cpp,cpp,6,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,updated.py,py,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,registration.py,py,11,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,6.0,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc/mpc_export,acado_qpoases_interface.cpp,cpp,6,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/lateral_mpc,libmpc_py.py,py,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/test/tests/plant,vision_inhouse.py,py,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/ui/spinner,spinner.c,c,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/can,libdbc_py.py,py,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/can,process_dbc.py,py,5,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/can,packer.py,py,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/controls/lib/longitudinal_mpc,libmpc_py.py,py,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,services.py,py,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,crash.py,py,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/honda,values.py,py,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/mock,radar_interface.py,py,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/car/toyota,toyotacan.py,py,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/common,swaglog.c,c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,thermal.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/can,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,version.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/boardd,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/STPA/1_openpilot_LVSpConst_WOdocker/selfdrive/loggerd,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
