Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_5_all_files,updated_ct_script_bg_based.py,py,97,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,35.0,,1.0,,,,,,,,,,,,,,44.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_4_scheduler_script.py,py,90,,4.0,,,,,,,,,,,,,,,,,,,,,,25.0,16.0,,1.0,,,,,,,,,,,,,,37.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script_tmr.py,py,125,,5.0,,,,,,,,,,,,,,,,,,,,,,50.0,16.0,,1.0,,,,,,,,,,,,,,46.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,simplex_latest_1.py,py,55,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,,1.0,,,,,,,,,,,,,,25.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,simplex_latest.py,py,77,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,35.0,,1.0,,,,,,,,,,,,,,25.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,scheduler_script_latest_backup.py,py,31,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,11.0,1.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,scheduler_script_latest_backup.py,py,31,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,11.0,1.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_3_scheduler_script_latest_simplex.py,py,55,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,,1.0,,,,,,,,,,,,,,25.0,7.0
6,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_6_scheduler_script_tmr.py,py,125,,5.0,,,,,,,,,,,,,,,,,,,,,,50.0,16.0,,1.0,,,,,,,,,,,,,,46.0,7.0
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,gen_fault_code_openAPS.py,py,81,,19.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,12.0,,,,,,,,,,,,,,42.0,
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,automation_script.py,py,17,,2.0,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,1.0,,,,,,,,,,,,,,5.0,
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,data_labeling_script.py,py,31,,12.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,gen_fault_code_openAPS_monitor.py,py,81,,19.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,12.0,,,,,,,,,,,,,,42.0,
5,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/,experiment_data_labeling_script.py,py,31,,12.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_1_scheduler_script.py,py,11,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,7.0,
4,/home/uva-dsa/Research/openAPS/openaps_monitor/myopenaps/backup_files,backup_2_initialize.py,py,19,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,15.0,
